Анализируемая словоформа	Лемма	Грамматическая характеристика внутри части речи
В	﻿В	Ncmsny
России	Россия	Ncfsgn
случилась	случиться	Vmis-sfm-p
радость	радость	Ncfsan
.	.	SENT
О	о	Sp-l
ней	она	P-3fsln
объявила	объявить	Vmis-sfa-p
министр	министр	Ncmsny
образования	образование	Ncnsgn
и	и	C
науки	наука	Ncfsgn
Ольга	Ольга	Npfsny
Васильева	Васильев	Npmsgy
0	0	0
которая	который	P--fsna
14.06.2017	@card@	Mc---d
на	на	Sp-l
первой	первый	Mofsl
Всероссийской	всероссийский	Afpfsgf
научной	научный	Afpfsgf
конференции	конференция	Ncfsgn
«	«	-0
Теология	теология	Ncfsnn
в	в	Sp-l
гуманитарном	гуманитарный	Afpmslf
образовательном	образовательный	Afpmslf
пространстве	пространство	Ncnsln
»	»	-0
произнесла	произнести	Vmis-sfa-p
следующее	следующий	Afpnsaf
:	:	-0
«	«	-0
Сегодня	сегодня	R
окончательно	окончательно	R
Минюстом	Минюст	Ncmsin
подписан	подписать	Vmps-smpsp
приказ	приказ	Ncmsan
0	0	0
что	что	C
теология	теология	Ncfsnn
–	–	-0
не	не	Q
как	как	C
теология	теология	Ncfsnn
со	со	Sp-i
степенью	степень	Ncfsin
истории	история	Ncfsgn
0	0	0
философии	философия	Ncfsgn
или	или	C
филологии	филология	Ncfsgn
0	0	0
а	а	C
как	как	C
теология	теология	Ncfsnn
–	–	-0
кандидат	кандидат	Ncmsny
и	и	C
доктор	доктор	Ncmsny
имеет	иметь	Vmip3s-a-e
право	право	Ncnsan
быть	быть	Vmn----a-e
»	»	-0
.	.	SENT
Поскольку	поскольку	C
российский	российский	Afpmsnf
министр	министр	Ncmsny
образования	образование	Ncnsgn
и	и	C
науки	наука	Ncfsgn
изъясняется	изъясняться	Vmip3s-m-e
так	так	P-----r
0	0	0
что	что	C
ей	она	P-3fsdn
требуется	требоваться	Vmip3s-m-e
толмач	толмач	Ncmsny
0	0	0
переведу	перевести	Vmif1s-a-p
сказанное	сказать	Vmps-snpfpa
на	на	Sp-a
русский	русский	Afpmsaf
язык	язык	Ncmsan
:	:	-0
в	в	Sp-l
России	Россия	Ncfsln
теперь	теперь	P-----r
теология	теология	Ncfsnn
окончательно	окончательно	R
объявлена	объявить	Vmps-sfpsp
наукой	наука	Ncfsin
и	и	C
государство	государство	Ncnsnn
станет	стать	Vmif3s-a-p
штамповать	штамповать	Vmn----a-e
кандидатов	кандидат	Ncmpgy
и	и	C
докторов	доктор	Ncmpgy
богословия	богословие	Ncnsgn
.	.	SENT
Как	как	C
пояснила	пояснить	Vmis-sfa-p
Васильева	Васильев	Npmsgy
они	они	P-3-pnn
об	об	Sp-l
этом	этот	P--nsla
счастье	счастье	Ncnsln
«	«	-0
так	так	P-----r
долго	долго	R
мечтали	мечтать	Vmis-p-a-e
»	»	-0
.	.	SENT
В	в	Sp-a
это	это	P--nsan
местоимение	местоимение	Ncnsnn
«	«	-0
они	они	P-3-pnn
»	»	-0
явно	явно	R
не	не	Q
входят	входить	Vmip3p-a-e
академики	академик	Ncmpny
РАН	РАН	Ncfsgn
0	0	0
в	в	Sp-l
том	тот	P--nsla
числе	число	Ncnsln
и	и	C
нобелевские	нобелевский	Afpmpnf
лауреаты	лауреат	Ncmpny
0	0	0
а	а	C
также	также	Q
сотни	сотня	Ncfpnn
остепененных	остепененных	Afpmpgf
и	и	C
не	не	Q
остепененных	остепененных	Afpmpgf
ученых	ученый	Ncmpgy
0	0	0
ученых	ученый	Ncmpgy
0	0	0
которые	который	P---pna
писали	писать	Vmis-p-a-e
петиции	петиции	Ncfsgn
с	с	Sp-i
протестами	протест	Ncmpin
против	против	Sp-g
того	то	P--nsgn
0	0	0
чтобы	чтобы	C
в	в	Sp-a
число	число	Ncnsan
научных	научный	Afpmpgf
дисциплин	дисциплина	Ncfpgn
включали	включать	Vmis-p-a-e
теологию	теология	Ncfsan
0	0	0
то	то	P--nsnn
есть	быть	Vmip3s-a-e
«	«	-0
учение	учение	Ncnsnn
о	о	Sp-l
Боге	бог	Ncmsly
»	»	-0
.	.	SENT
В	в	Sp-a
число	число	Ncnsan
радующихся	радующихся	Vmps-p-mfpg
включились	включиться	Vmis-p-m-p
все	весь	P---paa
попы	поп	Ncmpny
во	во	Sp-l
главе	глава	Ncfsln
с	с	Sp-i
Гундяевым	Гундяевым	Npmsiy
0	0	0
члены	член	Ncmpny
таких	такой	P---pga
организаций	организация	Ncfpgn
как	как	P-----r
«	«	-0
Православные	православный	Afpmpnf
хоругвеносцы	хоругвеносцы	Ncmpny
»	»	-0
0	0	0
«	«	-0
Сорок	сорок	Mc--n
сороков	сорок	Ncmpgn
»	»	-0
0	0	0
а	а	C
также	также	Q
